1,The Matrix,Sci-fi action,2024-01-13,1,1
2,Inception,Dream heist,2024-01-14,1,2
3,Pulp Fiction,Crime tales,2024-01-15,1,3
4,The Shawshank Redemption,Prison hope,2024-01-16,1,4
5,Forrest Gump,Life journey,2024-01-17,1,5
6,Interstellar,Space exploration,2024-01-18,1,6
7,The Dark Knight,Superhero conflict,2024-01-19,1,7
8,Avatar,Alien adventure,2024-01-20,2,8
9,Gladiator,Ancient revenge,2024-01-21,2,9
10,The Godfather,Mafia drama,2024-01-22,2,10
11,Star Wars,Space opera,2024-01-23,2,1
12,The Avengers,Superhero ensemble,2024-01-24,2,2
13,Jurassic Park,Dinosaur adventure,2024-01-25,2,3
14,The Lord of the Rings,Fantasy epic,2024-01-26,2,3
15,Titanic,Romantic tragedy,2024-01-27,3,6
16,Harry Potter,Wizarding world,2024-01-28,3,6
17,The Lion King,Animated classic,2024-01-29,3,6
18,The Terminator,Sci-fi action,2024-01-30,3,8
19,Braveheart,Historical epic,2024-01-31,3,9
20,The Silence of the Lambs,Thriller,2024-02-01,3,9
